Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.557,1474.525,1.0
-0.5,0.611,1464.751,1.05
0,0.53,1347.473,1.02
0.5,0.549,1418.963,1.25
1,0.556,1425.943,1.0
