Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.366,1286.445,2.3
-0.5,0.454,1404.389,2.21
0,0.508,1475.4,2.07
0.5,0.483,1430.944,2.22
1,0.392,1333.61,2.18
