Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.36,1064.29,4.38,0.21
-0.5,0.35,970.23,4.07,0.28
0,0.45,1133.25,4.05,0.26
0.5,0.35,951.26,4.39,0.32
1,0.33,830.79,3.56,0.45
