Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.536,1355.198,1.0
-0.5,0.564,1434.179,1.0
0,0.519,1313.751,1.33
0.5,0.553,1483.513,1.12
1,0.513,1351.162,1.57
