Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.082,1129.009,160.0
-0.5,0.06,1030.144,160.0
0,0.08,1080.12,160.0
0.5,0.08,1101.575,160.0
1,0.066,1052.509,160.0
