Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.02,330.15,14.18
-0.5,0.044,399.343,12.32
0,0.038,385.922,12.17
0.5,0.026,355.836,13.78
1,0.094,478.948,12.54
